Feature,Importance
log-sigma-2-0-mm-3D_glcm_Idm,0.0009040990202203
log-sigma-4-0-mm-3D_ngtdm_Complexity,0.0009011613146309
lbp-3D-m2_firstorder_MeanAbsoluteDeviation,0.0008985366063127
wavelet-HLL_firstorder_Uniformity,0.000897811716721
wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.0008973219700988
wavelet-LLH_ngtdm_Strength,0.0008914886100476
square_glrlm_RunLengthNonUniformity,0.0008898999127301
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.0008885851983396
wavelet-LHH_glcm_InverseVariance,0.0008875006922011
original_shape_Sphericity,0.0008839057787173
wavelet-LHH_firstorder_InterquartileRange,0.0008815876721114
log-sigma-1-0-mm-3D_glcm_SumAverage,0.0008802224177752
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.0008795977857962
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,0.0008774184113
log-sigma-4-0-mm-3D_firstorder_RootMeanSquared,0.000875945179769
wavelet-LLH_glcm_MaximumProbability,0.0008756343643659
log-sigma-3-0-mm-3D_ngtdm_Complexity,0.0008724266553827
wavelet-LHH_glszm_LargeAreaEmphasis,0.0008706473413935
lbp-3D-k_firstorder_MeanAbsoluteDeviation,0.0008676625841249
log-sigma-2-0-mm-3D_glcm_Correlation,0.0008673401832574
wavelet-HHH_glszm_ZonePercentage,0.0008632807649644
wavelet-HHL_ngtdm_Complexity,0.0008632550509809
wavelet-HHH_glcm_SumEntropy,0.0008611334060692
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.0008606765092635
wavelet-LHL_glrlm_GrayLevelVariance,0.0008591673129638
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.0008585991587444
diagnostics_Image-original_Mean,0.0008571819554168
lbp-3D-m1_glrlm_RunEntropy,0.000855238803984
lbp-3D-k_gldm_LowGrayLevelEmphasis,0.0008545866639565
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.0008539955143098
wavelet-HLL_glcm_ClusterTendency,0.000853925634048
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.0008531758649399
lbp-3D-k_glszm_SmallAreaEmphasis,0.0008508191632596
log-sigma-4-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.0008505346001612
squareroot_firstorder_Kurtosis,0.0008499501004714
gradient_firstorder_Energy,0.0008495813714003
wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.0008450479828307
log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.0008442463099734
log-sigma-4-0-mm-3D_glcm_JointAverage,0.0008400389225831
logarithm_glrlm_HighGrayLevelRunEmphasis,0.0008399780069209
logarithm_gldm_DependenceNonUniformityNormalized,0.0008394040824258
wavelet-LLH_firstorder_90Percentile,0.0008386501861549
log-sigma-4-0-mm-3D_firstorder_Maximum,0.0008373810794691
log-sigma-4-0-mm-3D_gldm_GrayLevelVariance,0.0008371045182466
log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.0008333198156498
lbp-3D-k_glcm_ClusterTendency,0.0008328232885549
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0008321868164117
original_glszm_GrayLevelVariance,0.0008305333463098
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.0008300823867516
squareroot_gldm_GrayLevelNonUniformity,0.000828495352347
wavelet-HHL_glcm_JointEnergy,0.0008279664807714
log-sigma-4-0-mm-3D_glrlm_GrayLevelVariance,0.0008272715740178
wavelet-LHL_glrlm_RunEntropy,0.0008254982501223
logarithm_glrlm_GrayLevelNonUniformity,0.000825235116253
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis,0.0008204320777185
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.0008196782043088
log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.000816583507384
wavelet-HHH_gldm_DependenceNonUniformity,0.0008159143366534
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,0.0008103344052802
lbp-3D-k_glcm_Imc2,0.0008084952981067
log-sigma-5-0-mm-3D_gldm_HighGrayLevelEmphasis,0.000806799843471
log-sigma-4-0-mm-3D_glrlm_LongRunEmphasis,0.0008044455023974
wavelet-HHL_glrlm_GrayLevelVariance,0.0008028141921727
log-sigma-4-0-mm-3D_glcm_Correlation,0.0008023624845403
exponential_glrlm_LongRunLowGrayLevelEmphasis,0.0008006729671293
log-sigma-3-0-mm-3D_firstorder_Variance,0.0007994509546035
lbp-3D-m2_firstorder_Variance,0.0007988924049287
square_glcm_MaximumProbability,0.0007975889830632
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,0.0007968223152282
lbp-3D-m2_gldm_LargeDependenceLowGrayLevelEmphasis,0.0007961491784897
wavelet-HLH_glcm_JointAverage,0.0007948186053447
log-sigma-3-0-mm-3D_firstorder_Maximum,0.0007938160705472
wavelet-HLH_glcm_Imc2,0.0007937828917797
wavelet-LHH_glcm_JointEntropy,0.0007931265291798
lbp-2D_firstorder_Variance,0.0007925561211387
log-sigma-4-0-mm-3D_gldm_GrayLevelNonUniformity,0.0007907594894314
squareroot_glszm_LargeAreaEmphasis,0.0007907249990773
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,0.000786031882533
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.0007857888705956
logarithm_glszm_HighGrayLevelZoneEmphasis,0.0007851654408787
wavelet-HLH_glcm_MCC,0.0007824721409905
square_glrlm_ShortRunEmphasis,0.0007822530298798
logarithm_glcm_Idn,0.0007801741774173
wavelet-HLL_glrlm_ShortRunEmphasis,0.000779811020239
lbp-3D-k_glcm_MaximumProbability,0.0007791716329003
wavelet-LLH_glszm_SizeZoneNonUniformity,0.0007776257700439
wavelet-LHH_glrlm_RunVariance,0.0007772036647698
